 pos     R      u  rms(u)       w  rms(w)    u`w`
     5.2  0.022352  -3.903   3.599  11.380   2.442  -0.088
     5.2   0.02286  -3.549   3.486  11.040   2.506   0.062
     5.2  0.023368  -2.367   3.723  10.927   2.900   0.394
     5.2  0.023876   2.360   5.239  10.813   4.447  -1.274
     5.2  0.024384  12.461   7.461  10.168   6.635   2.394
     5.2  0.024892  29.498   9.417   9.915   6.468   4.544
     5.2    0.0254  43.292   5.376  11.708   3.810   2.507
     5.2  0.025908  47.894   3.713  13.817   2.939   1.855
     5.2  0.026416  50.503   2.994  15.462   2.665   1.362
     5.2  0.026924  50.591   2.973  16.656   2.522   1.486
     5.2  0.027432  49.240   3.509  17.141   2.634   2.046
     5.2   0.02794  47.597   4.109  17.128   3.049   4.056
     5.2  0.028448  44.432   4.931  16.643   3.634   5.142
     5.2  0.028956  38.593   6.690  14.327   4.947   9.829
     5.2  0.029464  28.691   7.353   8.587   6.115   9.896
     5.2  0.029972  22.087   4.835   2.117   5.217   1.756
     5.2   0.03048  18.976   2.692  -2.162   2.898  -0.841
     5.2  0.030988  20.215   1.554  -2.006   1.464   0.393
     5.2  0.032004  21.081   1.234  -2.431   1.088  -0.483
     5.2  0.032512  21.193   1.150  -2.398   1.035  -0.331
     5.2  0.034544  20.991   1.054  -2.006   1.075  -0.053
     5.2  0.040132  20.060   1.219  -0.311   1.241   2.822
