"r/d","F","Frms","T (K)","Trms","YO2","YO2rms","YN2","YN2rms","YH2","YH2rms","YH2O","YH2Orms","YCH4","YCH4rms","YCO","YCOrms","YCO2","YCO2rms","YOH","YOHrms","YNO","YNOrms","YCOLIF","YCOrms0"
-1.110000e+00,3.187000e-01,1.019000e-01,1.852000e+03,2.430000e+02,3.890000e-02,4.300000e-02,7.310000e-01,1.630000e-02,1.020000e-03,1.390000e-03,1.040000e-01,2.280000e-02,7.350000e-04,2.320000e-03,2.310000e-02,2.720000e-02,1.020000e-01,1.990000e-02,1.470000e-03,1.040000e-03,5.710000e-05,1.730000e-05,2.180000e-02,2.430000e-02
-5.600000e-01,3.647000e-01,9.500000e-02,1.919000e+03,1.780000e+02,2.430000e-02,3.290000e-02,7.240000e-01,1.570000e-02,1.530000e-03,1.510000e-03,1.120000e-01,1.760000e-02,2.100000e-03,4.800000e-03,3.230000e-02,2.750000e-02,1.050000e-01,1.630000e-02,1.480000e-03,1.080000e-03,6.050000e-05,1.710000e-05,3.000000e-02,2.430000e-02
0.000000e+00,3.806000e-01,1.026000e-01,1.922000e+03,1.710000e+02,2.120000e-02,3.160000e-02,7.220000e-01,1.650000e-02,1.770000e-03,1.680000e-03,1.140000e-01,1.720000e-02,2.920000e-03,6.330000e-03,3.440000e-02,2.760000e-02,1.030000e-01,1.620000e-02,1.310000e-03,1.040000e-03,5.920000e-05,1.850000e-05,3.370000e-02,2.450000e-02
5.600000e-01,3.647000e-01,1.015000e-01,1.911000e+03,1.970000e+02,2.490000e-02,3.610000e-02,7.250000e-01,1.630000e-02,1.580000e-03,1.610000e-03,1.110000e-01,1.930000e-02,2.200000e-03,4.540000e-03,3.200000e-02,2.830000e-02,1.030000e-01,1.770000e-02,1.360000e-03,1.060000e-03,5.900000e-05,1.820000e-05,3.090000e-02,2.500000e-02
1.110000e+00,3.248000e-01,1.048000e-01,1.851000e+03,2.560000e+02,3.940000e-02,4.480000e-02,7.280000e-01,1.660000e-02,1.050000e-03,1.350000e-03,1.030000e-01,2.310000e-02,1.260000e-03,3.180000e-03,2.290000e-02,2.580000e-02,1.030000e-01,2.070000e-02,1.420000e-03,9.880000e-04,5.940000e-05,1.870000e-05,2.270000e-02,2.360000e-02
1.670000e+00,2.755000e-01,1.071000e-01,1.730000e+03,3.420000e+02,6.030000e-02,5.390000e-02,7.340000e-01,1.620000e-02,6.240000e-04,1.050000e-03,9.240000e-02,2.750000e-02,2.090000e-04,1.670000e-03,1.520000e-02,2.250000e-02,9.620000e-02,2.630000e-02,1.310000e-03,1.020000e-03,5.450000e-05,2.040000e-05,1.520000e-02,2.070000e-02
2.220000e+00,2.181000e-01,1.067000e-01,1.521000e+03,4.170000e+02,9.210000e-02,5.990000e-02,7.400000e-01,1.550000e-02,3.070000e-04,7.160000e-04,7.610000e-02,3.060000e-02,1.720000e-04,8.870000e-04,7.750000e-03,1.630000e-02,8.280000e-02,3.180000e-02,9.770000e-04,1.000000e-03,4.500000e-05,2.240000e-05,7.900000e-03,1.540000e-02
2.780000e+00,1.683000e-01,8.980000e-02,1.319000e+03,4.150000e+02,1.200000e-01,5.540000e-02,7.460000e-01,1.300000e-02,1.050000e-04,3.600000e-04,6.150000e-02,2.770000e-02,1.370000e-04,6.550000e-04,2.940000e-03,9.120000e-03,6.900000e-02,3.200000e-02,5.880000e-04,8.260000e-04,3.510000e-05,2.100000e-05,2.720000e-03,8.220000e-03
3.330000e+00,1.189000e-01,7.590000e-02,1.061000e+03,4.050000e+02,1.510000e-01,4.870000e-02,7.520000e-01,1.100000e-02,4.110000e-05,1.570000e-04,4.540000e-02,2.440000e-02,8.700000e-05,4.450000e-04,6.480000e-04,4.590000e-03,5.070000e-02,3.040000e-02,2.770000e-04,5.730000e-04,2.410000e-05,1.830000e-05,8.600000e-04,3.940000e-03
3.890000e+00,8.610000e-02,6.600000e-02,8.660000e+02,3.830000e+02,1.720000e-01,4.330000e-02,7.550000e-01,1.010000e-02,2.120000e-05,5.920000e-05,3.460000e-02,2.180000e-02,3.850000e-05,3.380000e-04,7.410000e-05,2.280000e-03,3.750000e-02,2.790000e-02,1.330000e-04,4.100000e-04,1.650000e-05,1.570000e-05,3.660000e-04,1.300000e-03
4.440000e+00,6.400000e-02,5.390000e-02,7.350000e+02,3.280000e+02,1.860000e-01,3.590000e-02,7.580000e-01,8.860000e-03,1.380000e-05,4.040000e-05,2.740000e-02,1.770000e-02,0.000000e+00,2.460000e-04,8.750000e-05,1.840000e-03,2.830000e-02,2.350000e-02,6.380000e-05,2.570000e-04,1.180000e-05,1.250000e-05,1.770000e-04,8.900000e-04
5.560000e+00,3.310000e-02,3.620000e-02,5.280000e+02,2.370000e+02,2.060000e-01,2.390000e-02,7.620000e-01,7.140000e-03,1.270000e-05,2.460000e-05,1.690000e-02,1.180000e-02,3.220000e-06,1.550000e-04,0.000000e+00,1.080000e-03,1.490000e-02,1.620000e-02,1.080000e-05,8.800000e-05,5.530000e-06,7.120000e-06,7.340000e-05,2.010000e-04
