#"Position [0.0  1.0  0.0] (m)-point 2 (m)" "Mass Fraction of CH4-point 2"
0.000000e+00 1.375155e-01 
9.450000e-01 6.007706e-02 
1.890000e+00 5.787038e-04 
2.835000e+00 9.182156e-06 
3.780000e+00 3.002369e-06 
4.725000e+00 2.285874e-08 
5.670000e+00 3.872831e-09 
6.615000e+00 1.098449e-09 
7.560000e+00 2.849469e-10 
8.505000e+00 5.888822e-11 
9.450000e+00 2.405527e-11 
1.039500e+01 9.108258e-12 
1.134000e+01 1.027285e-12 
1.228500e+01 3.032657e-13 
1.323000e+01 8.128387e-14 
1.417500e+01 1.946973e-14 
1.512000e+01 4.046573e-15 
1.606500e+01 6.899346e-16 
1.701000e+01 7.381879e-17 
1.795500e+01 7.381879e-17 
