#"Position [1.0  0.0  0.0] (m)-axis (m)" "Mass Fraction of CH4-axis"
5.555556e-02 1.563000e-01 
1.667588e-01 1.563000e-01 
2.782386e-01 1.563000e-01 
3.901797e-01 1.562999e-01 
5.027679e-01 1.562998e-01 
6.161898e-01 1.562994e-01 
7.306335e-01 1.562987e-01 
8.462889e-01 1.562974e-01 
9.633475e-01 1.562954e-01 
1.082004e+00 1.562923e-01 
1.202454e+00 1.562878e-01 
1.324899e+00 1.562815e-01 
1.449540e+00 1.562730e-01 
1.576585e+00 1.562620e-01 
1.706245e+00 1.562479e-01 
1.838734e+00 1.562303e-01 
1.974272e+00 1.562088e-01 
2.113084e+00 1.561829e-01 
2.255400e+00 1.561522e-01 
2.401456e+00 1.561162e-01 
2.551495e+00 1.560746e-01 
2.705764e+00 1.560268e-01 
2.864521e+00 1.559724e-01 
3.028027e+00 1.559111e-01 
3.196555e+00 1.558425e-01 
3.370384e+00 1.557662e-01 
3.549801e+00 1.556816e-01 
3.735105e+00 1.555878e-01 
3.926603e+00 1.554848e-01 
4.124613e+00 1.553722e-01 
4.329462e+00 1.552496e-01 
4.541490e+00 1.551164e-01 
4.761050e+00 1.549720e-01 
4.988504e+00 1.548157e-01 
5.224231e+00 1.546468e-01 
5.468621e+00 1.544645e-01 
5.722080e+00 1.542679e-01 
5.985027e+00 1.540560e-01 
6.257899e+00 1.538274e-01 
6.541148e+00 1.535807e-01 
6.835245e+00 1.533145e-01 
7.140676e+00 1.530268e-01 
7.457948e+00 1.527156e-01 
7.787588e+00 1.523783e-01 
8.130141e+00 1.520122e-01 
8.486177e+00 1.516137e-01 
8.856285e+00 1.511790e-01 
9.241079e+00 1.507032e-01 
9.641197e+00 1.501800e-01 
1.005730e+01 1.496023e-01 
1.049009e+01 1.489614e-01 
1.094027e+01 1.482466e-01 
1.140859e+01 1.474456e-01 
1.189583e+01 1.465417e-01 
1.240279e+01 1.455174e-01 
1.293033e+01 1.443528e-01 
1.347930e+01 1.430227e-01 
1.405063e+01 1.414999e-01 
1.464526e+01 1.397483e-01 
1.526417e+01 1.377200e-01 
1.590839e+01 1.353632e-01 
1.657900e+01 1.326212e-01 
1.727710e+01 1.294223e-01 
1.800385e+01 1.256795e-01 
1.876045e+01 1.212854e-01 
1.954816e+01 1.160771e-01 
2.036829e+01 1.097488e-01 
2.122220e+01 1.013378e-01 
2.211130e+01 8.723522e-02 
2.303706e+01 7.654331e-02 
2.400103e+01 6.985852e-02 
2.500479e+01 6.391039e-02 
2.605002e+01 5.807005e-02 
2.713845e+01 5.231258e-02 
2.827188e+01 4.669714e-02 
2.945220e+01 4.127366e-02 
3.068135e+01 3.605353e-02 
3.196139e+01 3.103773e-02 
3.329442e+01 2.621976e-02 
3.468266e+01 2.158622e-02 
3.612842e+01 1.711963e-02 
3.763409e+01 1.279520e-02 
3.920216e+01 8.563569e-03 
4.083525e+01 4.115901e-03 
4.253605e+01 3.318173e-05 
4.430738e+01 3.679602e-08 
4.615219e+01 4.026072e-11 
4.807353e+01 1.395866e-13 
5.007459e+01 0.000000e+00 
5.215869e+01 0.000000e+00 
5.432928e+01 0.000000e+00 
5.658997e+01 0.000000e+00 
5.894449e+01 0.000000e+00 
6.139676e+01 0.000000e+00 
6.395085e+01 0.000000e+00 
6.661098e+01 0.000000e+00 
6.938157e+01 0.000000e+00 
7.226722e+01 0.000000e+00 
7.527270e+01 0.000000e+00 
7.840301e+01 0.000000e+00 
