#"Position [1.0  0.0, 0.0] (m)-axis (m)","Mixture Fraction-axis"
5.556000e-02 1.000000e+00 
1.667721e-01 1.000000e+00 
2.782608e-01 1.000000e+00 
3.902109e-01 9.999999e-01 
5.028081e-01 9.999995e-01 
6.162391e-01 9.999984e-01 
7.306920e-01 9.999964e-01 
8.463566e-01 9.999928e-01 
9.634246e-01 9.999867e-01 
1.082090e+00 9.999771e-01 
1.202550e+00 9.999630e-01 
1.325005e+00 9.999429e-01 
1.449656e+00 9.999153e-01 
1.576711e+00 9.998786e-01 
1.706381e+00 9.998310e-01 
1.838881e+00 9.997706e-01 
1.974430e+00 9.996957e-01 
2.113253e+00 9.996041e-01 
2.255581e+00 9.994937e-01 
2.401648e+00 9.993626e-01 
2.551699e+00 9.992085e-01 
2.705981e+00 9.990293e-01 
2.864750e+00 9.988231e-01 
3.028269e+00 9.985876e-01 
3.196811e+00 9.983208e-01 
3.370653e+00 9.980204e-01 
3.550085e+00 9.976845e-01 
3.735404e+00 9.973078e-01 
3.926917e+00 9.968898e-01 
4.124942e+00 9.964287e-01 
4.329808e+00 9.959217e-01 
4.541853e+00 9.953661e-01 
4.761430e+00 9.947586e-01 
4.988903e+00 9.940960e-01 
5.224649e+00 9.933743e-01 
5.469059e+00 9.925894e-01 
5.722537e+00 9.917366e-01 
5.985506e+00 9.908104e-01 
6.258400e+00 9.898052e-01 
6.541672e+00 9.887140e-01 
6.835792e+00 9.875286e-01 
7.141247e+00 9.862405e-01 
7.458545e+00 9.848368e-01 
7.788211e+00 9.833040e-01 
8.130792e+00 9.816245e-01 
8.486856e+00 9.797816e-01 
8.856993e+00 9.777545e-01 
9.241818e+00 9.755129e-01 
9.641968e+00 9.730192e-01 
1.005811e+01 9.702323e-01 
1.049093e+01 9.671069e-01 
1.094114e+01 9.635859e-01 
1.140950e+01 9.596038e-01 
1.189678e+01 9.550936e-01 
1.240378e+01 9.499826e-01 
1.293136e+01 9.442011e-01 
1.348038e+01 9.376727e-01 
1.405175e+01 9.302886e-01 
1.464643e+01 9.219391e-01 
1.526539e+01 9.125489e-01 
1.590967e+01 9.020371e-01 
1.658033e+01 8.903257e-01 
1.727848e+01 8.773698e-01 
1.800529e+01 8.631616e-01 
1.876195e+01 8.477054e-01 
1.954973e+01 8.310261e-01 
2.036992e+01 8.131455e-01 
2.122390e+01 7.940755e-01 
2.211306e+01 7.737221e-01 
2.303890e+01 7.509937e-01 
2.400295e+01 7.253796e-01 
2.500679e+01 6.973433e-01 
2.605211e+01 6.677132e-01 
2.714062e+01 6.372899e-01 
2.827415e+01 6.067287e-01 
2.945456e+01 5.764930e-01 
3.068381e+01 5.468561e-01 
3.196394e+01 5.179984e-01 
3.329708e+01 4.900147e-01 
3.468544e+01 4.629347e-01 
3.613131e+01 4.367472e-01 
3.763710e+01 4.113990e-01 
3.920530e+01 3.868211e-01 
4.083851e+01 3.629019e-01 
4.253945e+01 3.395778e-01 
4.431093e+01 3.171079e-01 
4.615588e+01 2.957509e-01 
4.807738e+01 2.756516e-01 
5.007860e+01 2.568623e-01 
5.216286e+01 2.393726e-01 
5.433363e+01 2.231382e-01 
5.659449e+01 2.080885e-01 
5.894921e+01 1.941535e-01 
6.140168e+01 1.812453e-01 
6.395597e+01 1.693014e-01 
6.661631e+01 1.582227e-01 
6.938712e+01 1.479883e-01 
7.227300e+01 1.384168e-01 
7.527872e+01 1.298123e-01 
7.840928e+01 1.192272e-01 
